Timestamp,Coordinates
2024-02-10T14:59:26.340000Z,"[52.4953189, 13.444258]"
2024-02-10T14:59:26.395556Z,"[52.4953204, 13.444255]"
2024-02-10T14:59:26.451111Z,"[52.4953213, 13.4442518]"
2024-02-10T14:59:26.506667Z,"[52.4953211, 13.4442482]"
2024-02-10T14:59:26.562222Z,"[52.4953222, 13.4442458]"
2024-02-10T14:59:26.617778Z,"[52.4953233, 13.4442431]"
2024-02-10T14:59:26.673333Z,"[52.4953244, 13.44424]"
2024-02-10T14:59:26.728889Z,"[52.4953256, 13.4442368]"
2024-02-10T14:59:26.784444Z,"[52.4953266, 13.4442337]"
2024-02-10T14:59:26.840000Z,"[52.4953275, 13.444231]"
2024-02-10T14:59:26.895556Z,"[52.4953284, 13.4442284]"
2024-02-10T14:59:26.951111Z,"[52.4953285, 13.4442257]"
2024-02-10T14:59:27.006667Z,"[52.495329, 13.444222]"
2024-02-10T14:59:27.062222Z,"[52.4953304, 13.4442206]"
2024-02-10T14:59:27.117778Z,"[52.4953318, 13.444219]"
2024-02-10T14:59:27.173333Z,"[52.495333, 13.4442175]"
2024-02-10T14:59:27.228889Z,"[52.4953339, 13.4442161]"
2024-02-10T14:59:27.284444Z,"[52.495334, 13.4442137]"
2024-02-10T14:59:27.330000Z,"[52.4953341, 13.4442111]"
2024-02-10T14:59:27.385556Z,"[52.4953339, 13.4442089]"
2024-02-10T14:59:27.441111Z,"[52.4953352, 13.4442067]"
2024-02-10T14:59:27.496667Z,"[52.4953359, 13.4442032]"
2024-02-10T14:59:27.552222Z,"[52.4953363, 13.4442001]"
2024-02-10T14:59:27.607778Z,"[52.4953369, 13.444197]"
2024-02-10T14:59:27.663333Z,"[52.4953383, 13.444193]"
2024-02-10T14:59:27.718889Z,"[52.4953386, 13.4441885]"
2024-02-10T14:59:27.774444Z,"[52.4953394, 13.4441858]"
2024-02-10T14:59:27.830000Z,"[52.4953402, 13.444183]"
2024-02-10T14:59:27.885556Z,"[52.4953407, 13.4441797]"
2024-02-10T14:59:27.941111Z,"[52.4953407, 13.4441756]"
2024-02-10T14:59:27.996667Z,"[52.4953416, 13.4441725]"
2024-02-10T14:59:28.052222Z,"[52.4953425, 13.4441695]"
2024-02-10T14:59:28.107778Z,"[52.4953435, 13.4441668]"
2024-02-10T14:59:28.163333Z,"[52.4953446, 13.4441643]"
2024-02-10T14:59:28.218889Z,"[52.4953456, 13.4441619]"
2024-02-10T14:59:28.274444Z,"[52.4953463, 13.4441593]"
2024-02-10T14:59:28.375000Z,"[52.4953469, 13.4441569]"
2024-02-10T14:59:28.430556Z,"[52.4953476, 13.4441536]"
2024-02-10T14:59:28.486111Z,"[52.4953471, 13.4441472]"
2024-02-10T14:59:28.541667Z,"[52.4953475, 13.4441433]"
2024-02-10T14:59:28.597222Z,"[52.4953481, 13.4441395]"
2024-02-10T14:59:28.652778Z,"[52.4953487, 13.4441359]"
2024-02-10T14:59:28.708333Z,"[52.4953492, 13.4441324]"
2024-02-10T14:59:28.763889Z,"[52.4953505, 13.4441307]"
2024-02-10T14:59:28.819444Z,"[52.495352, 13.4441284]"
2024-02-10T14:59:28.875000Z,"[52.4953523, 13.4441256]"
2024-02-10T14:59:28.930556Z,"[52.4953543, 13.444122]"
2024-02-10T14:59:28.986111Z,"[52.4953561, 13.4441191]"
2024-02-10T14:59:29.041667Z,"[52.4953576, 13.4441166]"
2024-02-10T14:59:29.097222Z,"[52.4953596, 13.4441146]"
2024-02-10T14:59:29.152778Z,"[52.495361, 13.4441116]"
2024-02-10T14:59:29.208333Z,"[52.495363, 13.4441089]"
2024-02-10T14:59:29.263889Z,"[52.4953642, 13.4441059]"
2024-02-10T14:59:29.319444Z,"[52.4953646, 13.4441031]"
2024-02-10T14:59:29.365000Z,"[52.4953662, 13.4441008]"
2024-02-10T14:59:29.420556Z,"[52.4953677, 13.4440986]"
2024-02-10T14:59:29.476111Z,"[52.4953691, 13.4440961]"
2024-02-10T14:59:29.531667Z,"[52.4953704, 13.4440938]"
2024-02-10T14:59:29.587222Z,"[52.4953718, 13.4440917]"
2024-02-10T14:59:29.642778Z,"[52.4953735, 13.4440897]"
2024-02-10T14:59:29.698333Z,"[52.4953755, 13.4440873]"
2024-02-10T14:59:29.753889Z,"[52.4953774, 13.444085]"
2024-02-10T14:59:29.809444Z,"[52.4953783, 13.4440815]"
2024-02-10T14:59:29.865000Z,"[52.4953796, 13.4440785]"
2024-02-10T14:59:29.920556Z,"[52.4953806, 13.4440755]"
2024-02-10T14:59:29.976111Z,"[52.4953816, 13.4440729]"
2024-02-10T14:59:30.031667Z,"[52.4953826, 13.4440702]"
2024-02-10T14:59:30.087222Z,"[52.4953832, 13.4440671]"
2024-02-10T14:59:30.142778Z,"[52.4953845, 13.4440648]"
2024-02-10T14:59:30.198333Z,"[52.4953855, 13.4440615]"
2024-02-10T14:59:30.253889Z,"[52.4953863, 13.444058]"
2024-02-10T14:59:30.309444Z,"[52.4953876, 13.4440553]"
2024-02-10T14:59:30.365000Z,"[52.4953884, 13.444052]"
